2.6805e-03  1.4484e-01  1.0669e+00  1.7720e+00  5.7023e-03  1.3276e-03  4.4504e-02  5.7211e-03  4.4594e-02  1.7719e-01  4.9911e-01  3.7306e-02
1.4484e-01  7.1457e-03  8.1898e-03  8.5139e-03  5.0774e+00  1.0710e-01  2.4476e-01  8.4040e-03  3.0067e-02  2.5369e+01  6.5824e-02  1.8570e-01
1.0669e+00  8.1898e-03  2.9929e-03  1.2309e-02  3.0981e+00  8.3128e+00  8.6731e-02  1.4813e-03  1.0379e-02  2.2711e-02  2.3167e-02  9.6965e+00
1.7720e+00  8.5139e-03  1.2309e-02  9.5419e-03  3.5030e+00  3.7221e+00  1.9908e-01  5.5106e-02  1.9441e-02  2.7285e-01  9.0218e-02  5.6604e-01
5.7023e-03  5.0774e+00  3.0981e+00  3.5030e+00  3.9630e-03  5.4367e-03  4.8298e-02  1.4635e-01  5.3762e-02  3.4828e-01  1.0920e+00  3.1365e-01
1.3276e-03  1.0710e-01  8.3128e+00  3.7221e+00  5.4367e-03  2.2317e-03  9.6253e-02  1.4023e-02  1.2227e-01  2.6346e-01  4.2402e-01  1.3084e-01
4.4504e-02  2.4476e-01  8.6731e-02  1.9908e-01  4.8298e-02  9.6253e-02  3.7585e-04  2.8192e-02  4.5538e-01  3.0097e+00  1.4780e-01  1.0310e-03
5.7211e-03  8.4040e-03  1.4813e-03  5.5106e-02  1.4635e-01  1.4023e-02  2.8192e-02  9.6286e-03  9.2932e-03  2.5646e-01  1.4069e+00  1.2688e-02
4.4594e-02  3.0067e-02  1.0379e-02  1.9441e-02  5.3762e-02  1.2227e-01  4.5538e-01  9.2932e-03  2.2493e-03  2.1990e-03  1.6817e-04  1.2063e-01
1.7719e-01  2.5369e+01  2.2711e-02  2.7285e-01  3.4828e-01  2.6346e-01  3.0097e+00  2.5646e-01  2.1990e-03  6.1123e-03  3.6887e-03  1.6122e-01
4.9911e-01  6.5824e-02  2.3167e-02  9.0218e-02  1.0920e+00  4.2402e-01  1.4780e-01  1.4069e+00  1.6817e-04  3.6887e-03  4.1301e-03  4.7394e+00
3.7306e-02  1.8570e-01  9.6965e+00  5.6604e-01  3.1365e-01  1.3084e-01  1.0310e-03  1.2688e-02  1.2063e-01  1.6122e-01  4.7394e+00  5.4529e-05
